"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2023-07-01","2023","7","4696","174","1329","1565","52","3372","3733","1085","1728","0","0.01749217702279839070","16.9657241841752347","1.2043607510058114"
"2023-08-01","2023","8","3172","141","922","722","23","2347","2536","787","1129","0","0.05499514405956620265","17.5884040142440919","1.3307801877630301"
"2023-09-01","2023","9","2896","117","781","610","17","2109","2351","746","1060","0","0.06457476966690290574","20.1007193479801559","1.4368958185683912"
"2023-10-01","2023","10","3753","149","1006","875","14","2623","2998","881","1337","0","0.24956989247311827957","18.9196994761510891","1.3629473393989523"
"2023-11-01","2023","11","5243","219","1263","1819","72","3881","4318","1280","1938","0","0.17869745411486086442","23.4986717979080324","1.6023899743437932"
"2023-12-01","2023","12","10409","376","2317","5212","94","7931","8490","2280","3739","0","0.13294931330896156506","23.7179596877778876","1.46195435233672562000"
"2024-01-01","2024","1","50133","1544","12640","26794","903","41356","41607","11956","19974","0","0.34702423737727910238","23.5018629251916134","1.8729503401511290"
"2024-02-01","2024","2","174107","4189","34049","82044","1071","138698","144257","42796","69962","0","0.30809023893912645041","23.8080032783899463","1.5182016094131224"
"2024-03-01","2024","3","435165","10025","65613","213685","2176","342592","369887","111734","182128","0","0.18729916419689200420","23.5791947108976254","2.2397581376404358"
"2024-04-01","2024","4","616507","14859","77511","257010","1184","477720","535218","163186","273932","0","0.07681108746137243865","22.5856172676560104","1.5992899561290867"
"2024-05-01","2024","5","561542","14769","75532","250574","681","438277","485626","144404","249566","0","0.06810578296147718925","21.0466556952611791","1.5982606918530834"
"2024-06-01","2024","6","184599","5772","28915","74688","261","142117","153867","47351","78136","0","0.00993401898135894430","19.5037294907503132","1.4143658940091882"
"2024-07-01","2024","7","57370","1966","9275","20655","106","40079","46880","14402","22891","0",NULL,NULL,NULL
"2024-08-01","2024","8","29892","963","3627","8378","101","14787","23049","7911","10978","0",NULL,NULL,NULL
"2024-09-01","2024","9","5456","167","380","884","0","1343","4172","1554","1979","0",NULL,NULL,NULL
